node_id	species	metabolic_type	feeding_type	environment	feeding_mode	trophic_level	d15N	Mean_mass_g	mobility
57	Thalassiosira_trifulta	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	5.87E-12	1
58	Thalassiosira_tumida	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	6.54E-11	1
59	Trichotoxon_reinboldii	Plant	Primary_producer	pelagic	Primary_producer	1.00	-0.23	2.71E-13	1
60	Dictyocha_speculum	Plant	Primary_producer	pelagic	Primary_producer	1.00	2.72	6.98E-12	1
61	Phaeocystis_antarctica_	Plant	Primary_producer	pelagic	Primary_producer	1.00	2.72	1.24E-13	1
62	Silicioflagellate	Plant	Primary_producer	pelagic	Primary_producer	1.00	2.72	3.44E-14	1
63	Bodo_saltans	Plant	Primary_producer	pelagic	Primary_producer	1.00	2.72	2.28E-13	1
64	Amphidinium_hadai	Invertebrate	omnivorous	pelagic	predator	2.00	2.715	4.0E-12	4
65	Gyrodinium_lachryama	Invertebrate	omnivorous	pelagic	predator	2.00	2.715	1.2E-10	4
66	Parvicorbucula_socialis	Invertebrate	herbivorous/detrivorous	pelagic	suspension-feeder	2.50	2.715	3.3E-13	4
67	Cassidulinoides_parkerianus	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.00	-	1.2E-09	1
68	Cibicides_refulgens	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.00	-	1.2E-09	1
69	Globocassidulina_crassa	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.00	-	1.2E-09	1
70	Lenticulina_antarctica	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.00	-	1.2E-09	1
71	Neogloboquadriana_pachyderma	Invertebrate	herbivorous/detrivorous	benthic	suspension-feeder	2.00	-	1.2E-09	1
72	Euphausia_crystallorophias	Invertebrate	omnivorous	pelagic	pelagic_predator	2.06	2.78	1.2E+00	4
73	Euphausia_frigida	Invertebrate	omnivorous	pelagic	pelagic_predator	2.28	3.285	1.7E-01	4
74	Thysanoessa_macrura	Invertebrate	omnivorous	pelagic	pelagic_predator	2.43	5.42	1.5E-01	4
75	Euphausia_superba	Invertebrate	omnivorous	pelagic	pelagic_predator	2.28	3.499	5.5E+00	4
76	Ampelisca_richardsoni	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.00	6.36	8.1E-01	3
77	Abyssorchomene_rossi	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.46	9.65	1.9E+00	3
78	Abyssorchomene_plebs	Invertebrate	omnivorous	benthopelagic	predator/scavenger	2.08	9.5	4.7E-01	3
79	Abyssorchomene_nodimanus	Invertebrate	omnivorous	benthopelagic	predator/scavenger	3.97	8.647	2.4E-01	3
80	Eusirus_antarcticus	Invertebrate	omnivorous	benthopelagic	predator/scavenger	3.10	8.647	1.4E-01	3
81	Eusirus_perdentatus	Invertebrate	omnivorous	benthopelagic	predator/scavenger	3.67	9.09	1.9E+01	3
