Link ID	Link reference 	Body size reference	Geographic location	General habitat	Specific habitat	Link methodology	Body size methodology	Taxonomy consumer	Lifestage consumer	Common name(s) consumer	Metabolic category consumer	Type of feeding interaction	Minimum length (m) consumer	Mean length (m) consumer	Maximum length (m) consumer	Minimum mass (g) consumer	Mean mass (g) consumer	Maximum mass (g) consumer	Taxonomy resource	Lifestage - resource	Common name(s) resource	Metabolic category resource	Minimum length (m) resource	Mean length (m) resource	Maximum length (m) resource	Minimum mass (g) resource	Mean mass (g) resource	Maximum mass (g) resource	Consumer/resource body mass ratio	Notes		
14883	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Neogloboquadriana pachyderma	adult	Foraminifera	invertebrate	detritivorous	0.00007	0.00013	0.00013	-999	-999	-999	Sediment	-999	Sediment	detritus	0.00004	0.0005	-999	-999	-999	-999	61114.0315	-999
14884	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Euphausia crystallorophias	adult	Euphausiacea	invertebrate	herbivorous	0.007	0.034	0.034	-999	-999	-999	Phytoplankton	-999	Phytoplankton	photo-autotroph	0.00002	0.0002	-999	-999	-999	-999	2.55228E+11	laboratory feeding trials
14885	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Euphausia frigida	adult	Euphausiacea	invertebrate	herbivorous	0.0123	0.0178	0.0178	-999	-999	-999	Diatom	-999	Diatom	photo-autotroph	0.00001	0.00014	-999	-999	-999	-999	2.53386E+11	-999
14886	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Euphausia frigida	adult	Euphausiacea	invertebrate	herbivorous	0.0123	0.0178	0.0178	-999	-999	-999	Flagellate	-999	Phytoplankton	photo-autotroph	-999	0.00003	-999	-999	-999	-999	1.12948E+14	-999
14887	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Euphausia frigida	adult	Euphausiacea	invertebrate	herbivorous	0.0123	0.0178	0.0178	-999	-999	-999	Tintinnid	-999	Phytoplankton	photo-autotroph	0.00002	0.001	-999	-999	-999	-999	147098494.4	-999
14888	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Euphausia frigida	adult	Euphausiacea	invertebrate	predacious	0.0123	0.0178	0.0178	-999	-999	-999	Foraminifera	adult	Foraminifera	Invertebrate	0.00007	0.00013	-999	-999	-999	-999	33294.38349	-999
14889	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Euphausia frigida	adult	Euphausiacea	invertebrate	herbivorous	0.0123	0.0178	0.0178	-999	-999	-999	Phytoplankton	-999	Phytoplankton	photo-autotroph	0.00002	0.0002	-999	-999	-999	-999	65569903440	-999
14890	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Euphausia frigida	adult	Euphausiacea	invertebrate	predacious	0.0123	0.0178	0.0178	-999	-999	-999	Copepoda	adult	Copepoda	Invertebrate	0.0039	0.00614	-999	-999	-999	-999	9.348209258	-999
14891	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Euphausia frigida	adult	Euphausiacea	invertebrate	predacious	0.0123	0.0178	0.0178	-999	-999	-999	Pteropoda	adult	Pteropoda	Invertebrate	0.0009	0.042	0.042	-999	-999	-999	0.16483844	-999
14892	Jacob	 Brey & Mintenbeck unpublished	Jacob	 Brey & Mintenbeck unpublished	Antarctica: Eastern Weddell Sea	marine	Shelf	field; gut/stomach analysis	published account	Thysanoessa macrura	adult	Euphausiacea	invertebrate	herbivorous	0.0063	0.0172	0.0294	-999	-999	-999	Diatom	-999	Diatom	photo-autotroph	0.00001	0.00014	0.00014	-999	-999	-999	2.35782E+11	-999
